category,prevalence,presence_disagreement_rate,fleiss_kappa,krippendorff_alpha,mean_pairwise_cohen_kappa,n_as_plurality_primary,mean_primary_entropy_norm
System Overview,0.08061002178649238,0.08714596949891068,0.6080440630203662,0.6081863854375703,0.6109977266929943,24,0.3379717624999888
AI Integration,0.27523602033405953,0.1579520697167756,0.7360618334293918,0.7361576715436149,0.7361304025076375,195,0.22548209340658848
Documentation,0.12527233115468409,0.12309368191721133,0.6255563376468677,0.6256923012134448,0.6288887403579667,49,0.2622339345480983
Architecture,0.12817719680464779,0.07516339869281045,0.7757945520811088,0.7758759629191331,0.7754463011077103,61,0.2080443026932037
Impl. Details,0.20733478576615832,0.12636165577342048,0.7437097520804368,0.7438028131726371,0.7438000086630935,89,0.1982389262439749
Build and Run,0.2915758896151053,0.19607843137254902,0.6835802184657357,0.6836951130850291,0.6838711290399481,158,0.23664321550632317
Testing,0.21278140885984023,0.09368191721132897,0.8135744241401457,0.8136421167965946,0.8135728459351955,93,0.13082777903225373
Conf.&Env.,0.16702977487291212,0.07734204793028322,0.8147018687691899,0.8147691520412418,0.81442887470214,90,0.16737649190475634
DevOps,0.04030501089324619,0.02287581699346405,0.8028652943522414,0.8029368755815975,0.802806398831939,25,0.2085768591428502
Development Process,0.1877269426289034,0.15250544662309368,0.666623145636642,0.6667441975082337,0.6687920576337695,75,0.3047691455238003
Project Management,0.03376906318082789,0.04030501089324619,0.5882459904716889,0.588395501731502,0.5849659656886423,10,0.46350413142855607
Maintenance,0.10675381263616558,0.14052287581699346,0.508785465405674,0.5089638294342127,0.508260056948109,18,0.38625344285713004
Debugging,0.04974582425562818,0.046840958605664486,0.6697003589667779,0.6698202934769573,0.6681622164245447,14,0.1955814637755061
Performance,0.00980392156862745,0.016339869281045753,0.43894389438943326,0.4391476184655503,0.43535587414678806,1,0.0
Security,0.04103122730573711,0.029411764705882353,0.750838546675468,0.7509290192438504,0.7506291115968046,14,0.12415289234693465
UI/UX,0.00944081336238199,0.013071895424836602,0.5340627114820657,0.534231897135123,0.5291191604554807,2,0.2896900821428475
