category,kimi-k2.7-code:cloud,qwen3.5:cloud,glm-5.2:cloud
System Overview,0.5976809997245245,0.550842955797243,0.6666499712003205
AI Integration,0.6987453826501553,0.6957955482275351,0.7482334720743393
Documentation,0.5581350143011857,0.5098976450862132,0.6428931384770444
Architecture,0.7423580786026199,0.7822931785195938,0.8005657708628008
Impl. Details,0.722877171129146,0.7068576306554112,0.7325157695879093
Build and Run,0.6727272727272727,0.6818015844036261,0.6883398495252487
Testing,0.7315935109326678,0.708856630239765,0.7279851964732774
Conf.&Env.,0.7875840654460227,0.722501549693505,0.795212706627702
DevOps,0.5081406201389606,0.5240070517473815,0.49061988056862016
Development Process,0.6090144809451501,0.6872709331829715,0.5261177722461854
Project Management,0.6039201183431954,0.4620895522388058,0.5447017725449605
Maintenance,0.3818104248751475,0.4295714825069216,0.4302221926002449
Debugging,0.5879712746858161,0.6334750877453621,0.6952936654903741
Performance,0.5185875772054527,0.5042914795657372,0.3458997279440317
Security,0.6421433127790773,0.7099984204706997,0.6638315968530729
UI/UX,0.5941046425939592,0.526455416359618,0.4560690705942076
