Category,Primary_Count,General_Count,Primary_%,General_%,Bias_Delta_%
Development Process,65,294,7.080610021786492,32.02614379084967,24.945533769063182
Maintenance,15,214,1.6339869281045754,23.311546840958606,21.67755991285403
Testing,100,288,10.893246187363834,31.372549019607842,20.47930283224401
Build and Run,133,318,14.4880174291939,34.64052287581699,20.152505446623092
Impl. Details,95,260,10.348583877995644,28.322440087145967,17.973856209150323
Documentation,51,177,5.555555555555555,19.28104575163399,13.725490196078434
AI Integration,215,336,23.420479302832245,36.60130718954248,13.180827886710237
Conf.&Env.,92,205,10.021786492374728,22.33115468409586,12.309368191721132
Architecture,49,153,5.337690631808279,16.666666666666664,11.328976034858385
System Overview,38,112,4.139433551198257,12.200435729847495,8.061002178649238
Debugging,12,82,1.3071895424836601,8.932461873638346,7.625272331154686
Project Management,7,76,0.7625272331154684,8.278867102396514,7.516339869281046
DevOps,30,96,3.2679738562091507,10.457516339869281,7.18954248366013
Security,12,61,1.3071895424836601,6.64488017429194,5.33769063180828
Performance,1,28,0.10893246187363835,3.0501089324618738,2.9411764705882355
UI/UX,3,20,0.32679738562091504,2.178649237472767,1.8518518518518519
