model,category,precision,recall,f1,support,tp,fp,fn
glm-5.2:cloud,System Overview,0.2308,0.4615,0.3077,13,6,20,7
glm-5.2:cloud,AI Integration,0.6182,0.7907,0.6939,43,34,21,9
glm-5.2:cloud,Documentation,0.6818,0.3488,0.4615,43,15,7,28
glm-5.2:cloud,Architecture,0.8049,0.7857,0.7952,42,33,8,9
glm-5.2:cloud,Impl. Details,0.8039,0.7321,0.7664,56,41,10,15
glm-5.2:cloud,Build and Run,0.6786,0.7917,0.7308,48,38,18,10
glm-5.2:cloud,Testing,0.7925,0.75,0.7706,56,42,11,14
glm-5.2:cloud,Conf.&Env.,0.8,0.4571,0.5818,35,16,4,19
glm-5.2:cloud,DevOps,0.7143,0.3571,0.4762,14,5,2,9
glm-5.2:cloud,Development Process,0.7188,0.5349,0.6133,43,23,9,20
glm-5.2:cloud,Project Management,0.5714,0.25,0.3478,16,4,3,12
glm-5.2:cloud,Maintenance,0.5,0.4231,0.4583,26,11,11,15
glm-5.2:cloud,Debugging,0.8,0.4,0.5333,20,8,2,12
glm-5.2:cloud,Performance,1.0,0.24,0.3871,25,6,0,19
glm-5.2:cloud,Security,1.0,0.2381,0.3846,21,5,0,16
glm-5.2:cloud,UI/UX,0.8333,0.3571,0.5,14,5,1,9
kimi-k2.7-code:cloud,System Overview,0.28,0.5385,0.3684,13,7,18,6
kimi-k2.7-code:cloud,AI Integration,0.6429,0.8372,0.7273,43,36,20,7
kimi-k2.7-code:cloud,Documentation,0.7143,0.3488,0.4688,43,15,6,28
kimi-k2.7-code:cloud,Architecture,0.8611,0.7381,0.7949,42,31,5,11
kimi-k2.7-code:cloud,Impl. Details,0.807,0.8214,0.8142,56,46,11,10
kimi-k2.7-code:cloud,Build and Run,0.6,0.75,0.6667,48,36,24,12
kimi-k2.7-code:cloud,Testing,0.7818,0.7679,0.7748,56,43,12,13
kimi-k2.7-code:cloud,Conf.&Env.,0.64,0.4571,0.5333,35,16,9,19
kimi-k2.7-code:cloud,DevOps,0.75,0.4286,0.5455,14,6,2,8
kimi-k2.7-code:cloud,Development Process,0.7179,0.6512,0.6829,43,28,11,15
kimi-k2.7-code:cloud,Project Management,0.5455,0.375,0.4444,16,6,5,10
kimi-k2.7-code:cloud,Maintenance,0.5,0.5,0.5,26,13,13,13
kimi-k2.7-code:cloud,Debugging,0.7778,0.35,0.4828,20,7,2,13
kimi-k2.7-code:cloud,Performance,0.9,0.36,0.5143,25,9,1,16
kimi-k2.7-code:cloud,Security,0.8182,0.4286,0.5625,21,9,2,12
kimi-k2.7-code:cloud,UI/UX,0.6667,0.4286,0.5217,14,6,3,8
qwen3.5:cloud,System Overview,0.3,0.4615,0.3636,13,6,14,7
qwen3.5:cloud,AI Integration,0.6226,0.7674,0.6875,43,33,20,10
qwen3.5:cloud,Documentation,0.76,0.4419,0.5588,43,19,6,24
qwen3.5:cloud,Architecture,0.8158,0.7381,0.775,42,31,7,11
qwen3.5:cloud,Impl. Details,0.7778,0.75,0.7636,56,42,12,14
qwen3.5:cloud,Build and Run,0.6029,0.8542,0.7069,48,41,27,7
qwen3.5:cloud,Testing,0.7222,0.6964,0.7091,56,39,15,17
qwen3.5:cloud,Conf.&Env.,0.7143,0.4286,0.5357,35,15,6,20
qwen3.5:cloud,DevOps,0.7143,0.3571,0.4762,14,5,2,9
qwen3.5:cloud,Development Process,0.5918,0.6744,0.6304,43,29,20,14
qwen3.5:cloud,Project Management,0.75,0.1875,0.3,16,3,1,13
qwen3.5:cloud,Maintenance,0.4194,0.5,0.4561,26,13,18,13
qwen3.5:cloud,Debugging,0.7273,0.4,0.5161,20,8,3,12
qwen3.5:cloud,Performance,0.9,0.36,0.5143,25,9,1,16
qwen3.5:cloud,Security,0.8889,0.381,0.5333,21,8,1,13
qwen3.5:cloud,UI/UX,0.75,0.4286,0.5455,14,6,2,8
gemma4:31b-cloud,System Overview,0.2903,0.6923,0.4091,13,9,22,4
gemma4:31b-cloud,AI Integration,0.52,0.907,0.661,43,39,36,4
gemma4:31b-cloud,Documentation,0.5952,0.5814,0.5882,43,25,17,18
gemma4:31b-cloud,Architecture,0.7609,0.8333,0.7955,42,35,11,7
gemma4:31b-cloud,Impl. Details,0.7324,0.9286,0.8189,56,52,19,4
gemma4:31b-cloud,Build and Run,0.5811,0.8958,0.7049,48,43,31,5
gemma4:31b-cloud,Testing,0.6933,0.9286,0.7939,56,52,23,4
gemma4:31b-cloud,Conf.&Env.,0.7429,0.7429,0.7429,35,26,9,9
gemma4:31b-cloud,DevOps,0.4211,0.5714,0.4848,14,8,11,6
gemma4:31b-cloud,Development Process,0.5806,0.8372,0.6857,43,36,26,7
gemma4:31b-cloud,Project Management,0.3846,0.625,0.4762,16,10,16,6
gemma4:31b-cloud,Maintenance,0.3556,0.6154,0.4507,26,16,29,10
gemma4:31b-cloud,Debugging,0.7083,0.85,0.7727,20,17,7,3
gemma4:31b-cloud,Performance,0.7037,0.76,0.7308,25,19,8,6
gemma4:31b-cloud,Security,0.9375,0.7143,0.8108,21,15,1,6
gemma4:31b-cloud,UI/UX,0.6111,0.7857,0.6875,14,11,7,3
