model,granularity,class,precision,recall,f1,support,tp,fp,fn
glm-5.2:cloud,leaf_type,corrective,0.375,0.4615,0.4138,13,6,10,7
glm-5.2:cloud,leaf_type,preventive,0.5,0.6667,0.5714,3,2,2,1
glm-5.2:cloud,leaf_type,adaptive (correction),0.5,0.5,0.5,6,3,3,3
glm-5.2:cloud,leaf_type,adaptive (enhancement),0.6667,0.6667,0.6667,3,2,1,1
glm-5.2:cloud,leaf_type,additive,0.5217,0.7059,0.6,51,36,33,15
glm-5.2:cloud,leaf_type,perfective,0.6667,0.4658,0.5484,73,34,17,39
glm-5.2:cloud,base_type,corrective,0.375,0.4615,0.4138,13,6,10,7
glm-5.2:cloud,base_type,preventive,0.5,0.6667,0.5714,3,2,2,1
glm-5.2:cloud,base_type,adaptive,0.5556,0.5556,0.5556,9,5,4,4
glm-5.2:cloud,base_type,additive,0.5217,0.7059,0.6,51,36,33,15
glm-5.2:cloud,base_type,perfective,0.6667,0.4658,0.5484,73,34,17,39
kimi-k2.7-code:cloud,leaf_type,corrective,0.3333,0.5385,0.4118,13,7,14,6
kimi-k2.7-code:cloud,leaf_type,preventive,0.6667,0.6667,0.6667,3,2,1,1
kimi-k2.7-code:cloud,leaf_type,adaptive (correction),0.5,0.1667,0.25,6,1,1,5
kimi-k2.7-code:cloud,leaf_type,adaptive (enhancement),0.6667,0.6667,0.6667,3,2,1,1
kimi-k2.7-code:cloud,leaf_type,additive,0.5205,0.7451,0.6129,51,38,35,13
kimi-k2.7-code:cloud,leaf_type,perfective,0.766,0.4932,0.6,73,36,11,37
kimi-k2.7-code:cloud,base_type,corrective,0.3333,0.5385,0.4118,13,7,14,6
kimi-k2.7-code:cloud,base_type,preventive,0.6667,0.6667,0.6667,3,2,1,1
kimi-k2.7-code:cloud,base_type,adaptive,0.6,0.3333,0.4286,9,3,2,6
kimi-k2.7-code:cloud,base_type,additive,0.5205,0.7451,0.6129,51,38,35,13
kimi-k2.7-code:cloud,base_type,perfective,0.766,0.4932,0.6,73,36,11,37
qwen3.5:cloud,leaf_type,corrective,0.25,0.3846,0.303,13,5,15,8
qwen3.5:cloud,leaf_type,preventive,0.3333,0.3333,0.3333,3,1,2,2
qwen3.5:cloud,leaf_type,adaptive (correction),0.0,0.0,0.0,6,0,3,6
qwen3.5:cloud,leaf_type,adaptive (enhancement),0.0,0.0,0.0,3,0,1,3
qwen3.5:cloud,leaf_type,additive,0.5417,0.7647,0.6341,51,39,33,12
qwen3.5:cloud,leaf_type,perfective,0.7,0.4795,0.5691,73,35,15,38
qwen3.5:cloud,base_type,corrective,0.25,0.3846,0.303,13,5,15,8
qwen3.5:cloud,base_type,preventive,0.3333,0.3333,0.3333,3,1,2,2
qwen3.5:cloud,base_type,adaptive,0.5,0.2222,0.3077,9,2,2,7
qwen3.5:cloud,base_type,additive,0.5417,0.7647,0.6341,51,39,33,12
qwen3.5:cloud,base_type,perfective,0.7,0.4795,0.5691,73,35,15,38
gemma4:31b-cloud,leaf_type,corrective,0.3,0.2308,0.2609,13,3,7,10
gemma4:31b-cloud,leaf_type,preventive,0.2857,0.6667,0.4,3,2,5,1
gemma4:31b-cloud,leaf_type,adaptive (correction),0.5,0.3333,0.4,6,2,2,4
gemma4:31b-cloud,leaf_type,adaptive (enhancement),0.5,0.3333,0.4,3,1,1,2
gemma4:31b-cloud,leaf_type,additive,0.5195,0.7843,0.625,51,40,37,11
gemma4:31b-cloud,leaf_type,perfective,0.7755,0.5205,0.623,73,38,11,35
gemma4:31b-cloud,base_type,corrective,0.3,0.2308,0.2609,13,3,7,10
gemma4:31b-cloud,base_type,preventive,0.2857,0.6667,0.4,3,2,5,1
gemma4:31b-cloud,base_type,adaptive,0.5,0.3333,0.4,9,3,3,6
gemma4:31b-cloud,base_type,additive,0.5195,0.7843,0.625,51,40,37,11
gemma4:31b-cloud,base_type,perfective,0.7755,0.5205,0.623,73,38,11,35
