diff_id,category_divergence,maintenance_entropy,maintenance_disagreement,mean_model_error_vs_gold,unanimous_categories,unanimous_maintenance
02ce7d1fe1d55a8ce638745ad1461b30d49bb9a5:CLAUDE.md,0.1667,-0.0,0.0,0.5417,0,1
03912a6a1ff82ee95d122fbe96c2e70189181173:CLAUDE.md,0.6687,1.5,0.5,0.7536,0,0
0488e3d853c542e5032639f717d58f5f7601797c:CLAUDE.md,0.3333,1.0,0.5,0.25,0,0
04e34a704235d8012fcfeacb031a24c16baee18f:AGENTS.md,0.4444,-0.0,0.0,0.2917,0,1
0606524128270bd9f644cecf7c24a43534eff1ab:AGENTS.md,0.5198,0.8113,0.25,0.4271,0,0
06edb6e00aca8ac5cc95c878a6fc11d69459ae6c:CLAUDE.md,0.6357,-0.0,0.0,0.7351,0,1
083acb9ba33160be8dce2af656b0d4ac69e782b8:CLAUDE.md,0.4444,-0.0,0.0,0.9167,0,1
089081e9655095c77b63c7d1c096e6324119b976:CLAUDE.md,0.3056,1.5,0.5,0.4375,0,0
091f094c844337af0db3235385741de865e0ddc6:CLAUDE.md,0.6036,-0.0,0.0,0.756,0,1
0925d7eab78537af18712d5171ff18aa7afd95ce:CLAUDE.md,0.3353,0.8113,0.25,0.2396,0,0
0b3e3162613a2bd3d0f78b529cf5f6f7bbb61e7d:AGENTS.md,0.2324,-0.0,0.0,0.2896,0,1
10b89dbc333841de2687fb17df64f20842ffcc76:AGENTS.md,0.4306,0.8113,0.25,0.5417,0,0
13764c9f2acdd5210d6c3ed3389aa2af98807b86:CLAUDE.md,0.3333,1.0,0.5,0.4583,0,0
14b6ae0963b4a79f0d5b1e27d12fdd0201060b97:AGENTS.md,0.3542,-0.0,0.0,1.0,0,1
16f2b2bb00f72509982b7d303dec99638e84723f:CLAUDE.md,0.5502,-0.0,0.0,0.4451,0,1
1eb89ca7e391d4ea65e625d824c00516d354edae:CLAUDE.md,0.0833,-0.0,0.0,0.5536,0,1
215788eec49bfb1d1b50548deb9ab1271c130bc1:CLAUDE.md,0.3889,1.0,0.5,0.4583,0,0
25db728dee0a69301012f2c05907664415c8e04c:CLAUDE.md,0.4097,-0.0,0.0,0.5625,0,1
2677be93a53873cd294002a9e72c5ed21d8d5265:CLAUDE.md,0.4375,-0.0,0.0,0.35,0,1
2a08006abd2c449e0e7dab6e1d8355dfe1843647:AGENTS.md,0.25,-0.0,0.0,0.375,0,1
2a5e717daad58a1469b1a89cfcd4c0946357a333:CLAUDE.md,0.3056,-0.0,0.0,0.245,0,1
30dc72fc3008060300b04dfc503d699f2144ebb5:CLAUDE.md,0.2778,-0.0,0.0,0.475,0,1
330c9f96d84e871d499dda4ea76528893e80fa6e:CLAUDE.md,0.5694,-0.0,0.0,0.3958,0,1
33a959c984894fff5ed5553dddb1134a621132e7:CLAUDE.md,0.2722,-0.0,0.0,0.2333,0,1
3436a2d0d1464edabbc50824a092b6e5350ace47:AGENTS.md,0.0,-0.0,0.0,0.0,1,1
3499395046aa77a5ea081a75e369fe0f0bdd5815:AGENTS.md,0.3444,-0.0,0.0,0.5357,0,1
353ea8356cea213cbf7b61085cbe22d5e05910ab:CLAUDE.md,0.0,-0.0,0.0,0.0,1,1
38a0fb41064d2d6730c03bda4ffcd931712c18e2:CLAUDE.md,0.3,-0.0,0.0,0.15,0,1
3e876e8826ae3c4482d96784a1cd8196270fd1f9:CLAUDE.md,0.5427,-0.0,0.0,0.8763,0,1
3e9d16447e801fbc844bba1e054f5d55b4f6afe1:AGENTS.md,0.5833,-0.0,0.0,0.6295,0,1
41af67d13b7edc3acb39bee193b6ee6f85bd3793:AGENTS.md,0.5087,-0.0,0.0,0.3631,0,1
42d98e1d813665d5bfe327b76aa86b20b9b35e6a:CLAUDE.md,0.3056,1.0,0.5,0.6042,0,0
47af5c95c5402fa3afb518fef5c3d7850e90cb1c:CLAUDE.md,0.25,-0.0,0.0,0.125,0,1
487eac2521049ac0aee05859fa8f16fe052f8cc3:CLAUDE.md,0.3738,-0.0,0.0,0.2857,0,1
48dc9b66251ed0f351aa8235dc6415f66180bb05:CLAUDE.md,0.4444,0.8113,0.25,0.2917,0,0
4b106c7cae1b6458847e79bcbcad211cee231d93:CLAUDE.md,0.2917,-0.0,0.0,0.4375,0,1
4b62d518de96fcc84c9b3a650ad3db02038661a5:CLAUDE.md,0.2732,0.8113,0.25,0.8233,0,0
4dcbf5d709741876d8217363dd289af17bccad36:CLAUDE.md,0.25,-0.0,0.0,1.0,0,1
4e275f70196a88f29ed6d80e23da291047db2843:CLAUDE.md,0.25,-0.0,0.0,0.375,0,1
4ed96ca7f58cddbc34419b46a3e8d2e573c79b8d:CLAUDE.md,0.1667,0.8113,0.25,1.0,0,0
4f5232a2c71fc3805a79ec5c87307a37fbdb9d50:AGENTS.md,0.6111,-0.0,0.0,0.5417,0,1
504b13da4023ad310ac03cff5231ef6d513ba8e1:CLAUDE.md,0.625,0.8113,0.25,0.5,0,0
50a4e1de42a23c3e0153c53d90f994a60da9cb37:AGENTS.md,0.5444,-0.0,0.0,0.6429,0,1
52734dd3471ca915f87bc165c750133d2a9f2e46:CLAUDE.md,0.2958,-0.0,0.0,0.3812,0,1
5287d2268f3918f46a3a2bf7ae428db1b63227df:CLAUDE.md,0.5944,-0.0,0.0,0.9286,0,1
53353add5d9d74017c158a73c67fc690c59f4043:CLAUDE.md,0.0,1.0,0.5,0.0,1,0
53543407153fe1a970fd085801b85baecaba8d5e:CLAUDE.md,0.1667,0.8113,0.25,0.25,0,0
552d6e3f82c215790d17520babd5e9678437edff:CLAUDE.md,0.3889,-0.0,0.0,0.7708,0,1
576d1074daf31a8e3772faf20761c1c56fc1234d:CLAUDE.md,0.3889,-0.0,0.0,0.2083,0,1
57bb4005ccbec9b08c181c4bf4a16b8c799ad8f1:CLAUDE.md,0.45,1.5,0.5,0.5208,0,0
5a71b699aac627d90631be0214528f88dafdf5d5:CLAUDE.md,0.5556,0.8113,0.25,0.4583,0,0
5ca067ad2ae301bfa9f8d2bea8240f8f7eeff8fb:CLAUDE.md,0.5,-0.0,0.0,0.375,0,1
5d3c633bee5a63db457c1fa91c5940b52f860a15:CLAUDE.md,0.5694,-0.0,0.0,0.5625,0,1
5e36776546a5af58659bb8e4d0c08db99da02731:AGENTS.md,0.5722,1.5,0.5,0.7452,0,0
5eafafd8c515df642ce35fcdd69c5b32887c2ae0:CLAUDE.md,0.3194,-0.0,0.0,0.2083,0,1
60a34974d548a741c05a16b15ab4024f22003be1:CLAUDE.md,0.3194,1.5,0.5,0.6012,0,0
61be9fcc42a6d5b3a6455231939ae8a108a39c8a:CLAUDE.md,0.2394,-0.0,0.0,0.4861,0,1
6409985566a33e3a31a299baf7cf1ae6ac55318b:AGENTS.md,0.3056,-0.0,0.0,0.4732,0,1
65b891574e80431056c646f6da24214cc5050db2:CLAUDE.md,0.3333,-0.0,0.0,0.25,0,1
69d0e545a56cab731ae04507c4ad03f283d6ed24:CLAUDE.md,0.4583,-0.0,0.0,0.3958,0,1
6be5b8cef0e6506501fc00939b539f3f347f4c7f:CLAUDE.md,0.2595,-0.0,0.0,0.2768,0,1
6dac283ca2652df2e410bcfb5d5e53e2f869523c:CLAUDE.md,0.5,-0.0,0.0,0.375,0,1
6e8f743d0ee5fa476c6b5bd622eb9cc6a0d60b11:CLAUDE.md,0.4444,0.8113,0.25,0.2917,0,0
6f7ecdfff629b3515e12d50bd2860de806e710da:CLAUDE.md,0.2651,-0.0,0.0,0.369,0,1
6f87acc9f21f9d9ae1aecd518ec95a8de4c15064:CLAUDE.md,0.5111,-0.0,0.0,0.5417,0,1
7344da0b82be00e545f79dfdbaa9238ed290023d:CLAUDE.md,0.5694,-0.0,0.0,0.4167,0,1
74c596d07b798cd0dc7f415aecaa59e0e2f5a8f6:CLAUDE.md,0.3988,-0.0,0.0,0.3522,0,1
78dd3d167b70c75c9f31975aedf3a948d88456a0:CLAUDE.md,0.5286,1.0,0.5,0.6994,0,0
7991f587680a10646e027b8592493d840c4f0334:CLAUDE.md,0.3806,1.0,0.5,0.2458,0,0
7a78dc4ccc44a65f626d7d279351c2aa759a49fa:CLAUDE.md,0.6056,1.0,0.5,0.6917,0,0
7bc0039d6bd4aa39e49404f305248c131d124664:CLAUDE.md,0.3333,-0.0,0.0,0.4583,0,1
7d435a7b1e599563a21b8c91b4b6395b8a94108b:CLAUDE.md,0.25,0.8113,0.25,0.75,0,0
80f36f76ecc3204ccf1a8ab169fd0b9192137925:AGENTS.md,0.4444,0.8113,0.25,0.2917,0,0
820fb004508791393d63da7cf5748d448a803cb8:CLAUDE.md,0.1508,-0.0,0.0,0.3333,0,1
825487b3f5c1a26ca481efe1527d06a32d9e7b52:CLAUDE.md,0.5189,0.8113,0.25,0.567,0,0
82d7c42fac1b2197c2761c012db58084513f77dd:CLAUDE.md,0.1667,-0.0,0.0,0.0833,0,1
83a2ea566e1ed66760090b1fbdf240528740038c:CLAUDE.md,0.3333,0.8113,0.25,0.25,0,0
852baaf1e848a13c8c2fa3b654056500755b80b5:CLAUDE.md,0.2778,-0.0,0.0,1.0,0,1
860a8682546f7dd733677cd8f8da5d5bfff0d1ea:CLAUDE.md,0.6278,-0.0,0.0,0.575,0,1
8a10a6f6dad54d81098b40630d5ebc7b8572b984:CLAUDE.md,0.3944,-0.0,0.0,0.7083,0,1
8ad6afa0e06de8398910b182fd6bd508c29b8972:CLAUDE.md,0.0,-0.0,0.0,1.0,1,1
8e86a924aa552b34d2eaa7213ad4c12d65425291:CLAUDE.md,0.4861,1.0,0.5,0.7917,0,0
93b885445c199b9a3fe4b2bd940f90473605a33c:AGENTS.md,0.0,0.8113,0.25,0.0,1,0
93e65cac3433304f4287fc4c8cf864746c52049b:CLAUDE.md,0.125,-0.0,0.0,0.475,0,1
950c6948805a786fa7c72a64b24f2b9ed858077a:CLAUDE.md,0.2801,-0.0,0.0,0.2868,0,1
957d100734540f4f86659ab6982c074e84d37d07:CLAUDE.md,0.3333,-0.0,0.0,0.625,0,1
966be28251cd35630201a0cfc48b10fb26faf1ac:AGENTS.md,0.4889,-0.0,0.0,0.3833,0,1
